List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
HOOYBERGHS,HOOYBERGHS NV,1,1,1
HOUBEN,HOUBEN NV,1,1,1
ALGEMENE BOUW MAES,ALGEMENE BOUW MAES NV,1,1,1
Denys,Denys NV,1,1,1
GROEP VAN ROEY,Van Roey NV,1,1,1
MBG,MBG NV,1,1,1
MACHIELS BUILDING SOLUTIONS,MACHIELS BUILDING SOLUTIONS NV,1,1,1
Bouwonderneming Haex,Bouwonderneming Haex NV,1,1,1
DEMOCO GROUP,DEMOCO NV,1,1,1
Van Laere,Van Laere NV,1,1,1
Huybreckx,Huybreckx NV,1,1,1
Dillen Bouwteam,Dillen Bouwteam NV,1,1,1
BOUWBEDRIJF DETHIER,BOUWBEDRIJF DETHIER NV,1,1,1
VANHOUT,VANHOUT NV,1,1,1
WILLEMEN CONSTRUCT,WILLEMEN CONSTRUCT NV,1,1,1
Valens SA,VALENS SA,1,1,1
JAN DE NUL,Jan De Nul NV,1,1,1
IBS INDUSTRIAL,IBS INDUSTRIAL NV,1,1,1
Vanderstraeten,Vanderstraeten NV,1,1,1
VANDEBOS ALGEMENE BOUWONDERNEMING,VANDEBOS ALGEMENE BOUWONDERNEMING NV,1,1,1
BOUWBEDRIJF VAN POPPEL,BOUWBEDRIJF VAN POPPEL NV,1,1,1
ALHEEMBOUW,ALHEEMBOUW NV,1,1,1
A C H BOUW,A C H BOUW NV,1,1,1
BOUWBEDRIJF FURNIBO,BOUWBEDRIJF FURNIBO NV,1,1,1
IBENS,IBENS NV,1,1,1
BOLCKMANS,BOLCKMANS NV,1,1,1
Vandenbussche,Vandenbussche NV,1,1,1
VUYLSTEKE - EIFFAGE,VUYLSTEKE - EIFFAGE NV,1,1,1
Algemene Bouwonderneming Cogghe en Cie,Algemene Bouwonderneming Cogghe en Cie NV,1,1,1
DCA,DCA NV,1,1,1
MATHIEU GIJBELS,MATHIEU GIJBELS NV,1,1,1
WYCOR,WYCOR NV,1,1,1
Bouwbedrijf Floré,Bouwbedrijf Floré NV,1,1,1
DE PEUTER,DE PEUTER NV,1,1,1
EDIBO,EDIBO NV,1,1,1
ALTEZ,ALTEZ NV,1,1,1
BOUWONDERNEMING LAMERS,BOUWONDERNEMING LAMERS NV,1,1,1
Govaere  Bouw,Govaere Bouw NV,1,1,1
AANNEMINGEN M. EN J. BRAET,AANNEMINGEN M. EN J. BRAET NV,1,1,1
ALGEMENE ONDERNEMING DRIESEN,ALGEMENE ONDERNEMING DRIESEN NV,1,1,1
BOUWONDERNEMING DAMMAN,BOUWONDERNEMING DAMMAN NV,1,1,1
JURI,JURI NV,1,1,1
International Building Organisation,International Building Organisation NV,1,1,1
WILLY NAESSENS INDUSTRIEBOUW,WILLY NAESSENS INDUSTRIEBOUW NV,1,1,1
MEVACO - BOUWBEDRIJF,MEVACO - BOUWBEDRIJF NV,1,1,1
BOUWONDERNEMING CHRISTIAENS,BOUWONDERNEMING CHRISTIAENS NV,1,1,1
BOUWBEDRIJF VMG - DE COCK,BOUWBEDRIJF VMG - DE COCK NV,1,1,1
THYS BOUWPROJECTEN,THYS BOUWPROJECTEN NV,1,1,1
BEDDELEEM GROEP,Beddeleem NV,1,1,1
Bekaert Building Company,Bekaert Building Company NV,1,1,1
BOUWONDERNEMING KIJK EN BOUW,BOUWONDERNEMING KIJK EN BOUW NV,1,1,1
Bouwonderneming Covemaeker,Bouwonderneming Covemaeker NV,1,1,1
RENOTEC,RENOTEC NV,1,1,1
BOUW- EN HOUTONDERNEMING VERSTRAETE,BOUW- EN HOUTONDERNEMING VERSTRAETE NV,1,1,1
Persyn,Persyn NV,1,1,1
PEREMANS,PEREMANS NV,1,1,1
DE BRANDT,DE BRANDT NV,1,1,1
Coussée Bouw,Coussée Bouw NV,1,1,1
BOUWBEDRIJF JANSSEN,BOUWBEDRIJF JANSSEN NV,1,1,1
Artes Depret,Artes Depret NV,1,1,1
Artes Roegiers,Artes Roegiers NV,1,1,1
DECKX ALGEMENE ONDERNEMINGEN,DECKX ALGEMENE ONDERNEMINGEN NV,1,1,1
DEHOLI,DEHOLI NV,1,1,1
BOUWBEDRIJF EMILE ROMBAUT,BOUWBEDRIJF EMILE ROMBAUT NV,1,1,1
Artem,Artem NV,1,1,1
Jansen Building Projects,Jansen Building Projects NV,1,1,1
REYNDERS,REYNDERS NV,1,1,1
vanhout.pro,vanhout.pro NV,1,1,1
Cosimco,Cosimco NV,1,1,1
